"uid","domainID","siteID","plotID","trapCoordinate","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","date","eventID","individualID","taxonID","scientificName","taxonRank","identificationQualifier","identificationStatus","sex","reproductiveCondition","recapture","fate","replacedTag","lifeStage","testes","nipples","pregnancyStatus","vagina","hindfootLength","earLength","tailLength","totalLength","weight","bloodSampleID","bloodSampleMethod","fecalSampleID","fecalSampleCondition","earSampleID","hairSampleID","whiskerSampleID","voucherSampleID","measuredBy","recordedBy","remarks","consistencyTagIDSexQF","consistencyTagIDTaxonIDQF","consistencyTagIDLifeStageQF","orderTagIDRecaptureQF","orderTagIDLifeStageQF"
"968994845B99499AB27D42D519B93BC5","D10","CPER","CPER_015","G9","grasslandHerbaceous",40.852813,-104.742774,"WGS84",,1667.548476,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.0R1073","REME","Reithrodontomys megalotis","species","cf. species"," ","F","R","N",,,"adult",,"enlarged","pregnant","plugged",16,,62,,16,,,"CPER.20140504.R1073.F","fresh","CPER.20140504.R1073.E",,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"B3407AB2E0B6441CA094EBC06859870B","D10","CPER","CPER_015","H2","grasslandHerbaceous",40.853443,-104.742653,"WGS84",,1668.069842,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.0R1071","REME","Reithrodontomys megalotis","species","cf. species"," ","M","R","N",,,"adult","scrotal",,,,16,11,61,130,11,"CPER.20140504.R1071.B","mandibular","CPER.20140504.R1071.F","fresh","CPER.20140504.R1071.E",,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"968EBF74998A4F45A2E86956FDD508D2","D10","CPER","CPER_015","E6","grasslandHerbaceous",40.853084,-104.74301,"WGS84",,1667.84951,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.415448","PEFL","Perognathus flavus","species",," ","F","N","Y",,,"adult",,"nonenlarged","not","neither",14,6,50,103,8,,,,,,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"0BD4DBE77577430185FBBCBA23D7529D","D10","CPER","CPER_015","E5","grasslandHerbaceous",40.85317365,-104.7430096,"WGS84",0.1,1662.323,0.1,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.0R1070","REME","Reithrodontomys megalotis","species","cf. species"," ","F","R","N",,,"adult",,"nonenlarged","not","swollen",16,10,65,125,12,"CPER.20140504.R1070.B","mandibular","CPER.20140504.R1070.F","fresh",,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"49947FA4097A4DDCA83210475F43DC4E","D10","CPER","CPER_015","C7","grasslandHerbaceous",40.852994,-104.743248,"WGS84",,1667.829623,,"2014-05-04","MAM.CPER.2014.05","NEON.MAM.D10.415437","PEFL","Perognathus flavus","species",," ","F","R","N",,,"adult",,"enlarged","pregnant","plugged",14,5,45,105,9,,,"CPER.20140504.415437.F","fresh",,,,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"4D7174A432C14C6695BEA2E5398CC578","D10","CPER","CPER_005","F3","grasslandHerbaceous",40.854289,-104.726797,"WGS84",,1664.369886,,"2014-05-05","MAM.CPER.2014.05","NEON.MAM.D10.415496","PEFL","Perognathus flavus","species",," ","F","N","N",,,"subadult",,"nonenlarged","not","neither",13,5,42,110,6,,,"CPER.20140505.415496.F","fresh","CPER.20140505.415496.E","CPER.20140505.415496.H","CPER.20140505.415496.H",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","UXBWU10B2GNywEWFJgkBhTUfnl1mPVbQ",,0,0,0,-1,0
"1F9DA5DFF51742FAB44D3FC210E76F4A","D10","CPER","CPER_011","D8","grasslandHerbaceous",40.867311,-104.703755,"WGS84",,1663.771139,,"2014-05-05","MAM.CPER.2014.05","NEON.MAM.D10.0R0757","REME","Reithrodontomys megalotis","species","cf. species"," ","M","N","N",,,"adult","nonscrotal",,,,7,12,50,70,7,,,"CPER.20140505.R0757.F","fresh","CPER.20140505.R0757.E","CPER.20140505.R0757.H","CPER.20140505.R0757.H",,"LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"FF5EA60C99FD4EF8B5615469B91AEBFB","D10","CPER","CPER_011","F9","grasslandHerbaceous",40.86722,-104.703518,"WGS84",,1663.186146,,"2014-05-05","MAM.CPER.2014.05","NEON.MAM.D10.0L0789","REME","Reithrodontomys megalotis","species","cf. species"," ","M","N","Y",,,"adult","nonscrotal",,,,6,17,67,125,,"CPER.20140505.L0789.B","mandibular","CPER.20140505.L0789.F","fresh",,"CPER.20140505.L0789.H",,"CPER.20140505.L0789.V","LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"77CDC14A0BC747AF97F4E6FE3269FE54","D10","CPER","CPER_011","D9","grasslandHerbaceous",40.86722,-104.703755,"WGS84",,1663.698297,,"2014-05-05","MAM.CPER.2014.05","NEON.MAM.D10.0R0805","REME","Reithrodontomys megalotis","species","cf. species"," ","F","R","Y",,,"adult",,"enlarged","not","plugged",16,8,55,110,11,,,,,,,,,"LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
"B53B2BC2C15C445B9EC60DF0260EE254","D10","CPER","CPER_004","F1","grasslandHerbaceous",40.813451,-104.698416,"WGS84",,1617.877063,,"2014-05-05","MAM.CPER.2014.05","NEON.MAM.D10.415453","PEFL","Perognathus flavus","species",," ","M","R","N",,,"adult","scrotal",,,,7,5,51,70,7,,,,,"CPER.20140505.415453.E","CPER.20140505.415453.H","CPER.20140505.415453.H",,"LM6pn4z76ngbtmN4opkriGV+qc7GWRQh","E+aZF4QjQpjZbv1Tn0+BDzulS9nJGmVV",,0,0,0,-1,0
