#
# Transition date estimate for bartlettir
#
# Site: bartlettir
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2016
# Final Processing Date: 2020-03-19
# Final Processing Time: 16:13:29
# Spline RMSE gcc_mean: 0.00365
# Spline RMSE gcc_50: 0.00382
# Spline RMSE gcc_75: 0.00345
# Spline RMSE gcc_90: 0.00359
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
bartlettir,DB,1000,rising,gcc_mean,2008-05-04,2008-05-07,2008-05-12,2008-05-03,2008-05-06,2008-05-11,2008-05-06,2008-05-09,2008-05-13,0.3724,0.38637,0.41695,0.36408,0.46864
bartlettir,DB,1000,rising,gcc_mean,2009-04-29,2009-05-04,2009-05-10,2009-04-15,2009-05-03,2009-05-08,2009-05-01,2009-05-06,2009-05-11,0.37041,0.38471,0.41388,0.36073,0.46244
bartlettir,DB,1000,rising,gcc_mean,2010-04-24,2010-04-27,2010-05-02,2010-04-22,2010-04-26,2010-05-01,2010-04-26,2010-04-29,2010-05-03,0.37289,0.38701,0.41868,0.36292,0.47226
bartlettir,DB,1000,rising,gcc_mean,2011-05-06,2011-05-09,2011-05-14,2011-05-05,2011-05-08,2011-05-12,2011-05-08,2011-05-11,2011-05-15,0.36978,0.38326,0.41839,0.3611,0.4653
bartlettir,DB,1000,rising,gcc_mean,2012-04-18,2012-05-02,2012-05-09,2012-04-15,2012-05-01,2012-05-07,2012-04-28,2012-05-04,2012-05-10,0.36949,0.38276,0.41617,0.35916,0.46786
bartlettir,DB,1000,rising,gcc_mean,2013-04-30,2013-05-03,2013-05-08,2013-04-29,2013-05-02,2013-05-07,2013-05-02,2013-05-05,2013-05-09,0.36979,0.38224,0.4178,0.36054,0.47236
bartlettir,DB,1000,rising,gcc_mean,2014-05-08,2014-05-11,2014-05-16,2014-05-07,2014-05-10,2014-05-15,2014-05-10,2014-05-13,2014-05-17,0.37088,0.38626,0.422,0.36277,0.47745
bartlettir,DB,1000,rising,gcc_mean,2015-05-03,2015-05-06,2015-05-11,2015-05-02,2015-05-05,2015-05-09,2015-05-05,2015-05-08,2015-05-12,0.37522,0.38948,0.42805,0.3661,0.47627
bartlettir,DB,1000,rising,gcc_mean,2016-05-09,2016-05-12,2016-05-17,2016-05-08,2016-05-11,2016-05-16,2016-05-11,2016-05-14,2016-05-18,0.37641,0.39077,0.4255,0.36603,0.47945
bartlettir,DB,1000,falling,gcc_90,2016-10-06,2016-10-01,2016-09-23,2016-10-08,2016-10-02,2016-09-26,2016-10-03,2016-09-29,2016-09-22,0.39118,0.40669,0.43262,0.38299,0.47875
bartlettir,DB,1000,falling,gcc_90,2015-10-10,2015-10-06,2015-09-29,2015-10-12,2015-10-07,2015-10-01,2015-10-08,2015-10-04,2015-09-27,0.38311,0.39786,0.42767,0.37255,0.4817
bartlettir,DB,1000,falling,gcc_90,2014-09-26,2014-09-23,2014-09-17,2014-09-28,2014-09-24,2014-09-19,2014-09-24,2014-09-21,2014-09-15,0.40644,0.41794,0.44383,0.39833,0.48632
bartlettir,DB,1000,falling,gcc_90,2013-10-02,2013-09-27,2013-09-20,2013-10-04,2013-09-28,2013-09-22,2013-09-29,2013-09-25,2013-09-18,0.38651,0.401,0.42868,0.37846,0.47692
bartlettir,DB,1000,falling,gcc_90,2012-10-02,2012-09-26,2012-09-18,2012-10-13,2012-09-27,2012-09-20,2012-09-28,2012-09-24,2012-09-17,0.37543,0.38933,0.419,0.36643,0.46808
bartlettir,DB,1000,falling,gcc_90,2011-10-07,2011-09-30,2011-09-19,2011-10-09,2011-10-02,2011-09-22,2011-10-04,2011-09-27,2011-09-18,0.38727,0.40065,0.42728,0.37889,0.47076
