"","plotID","decimalLatitude","decimalLongitude","elevation","nlcdClass"
"10927","WOOD_037",47.139384,-99.23845,578.7,"grasslandHerbaceous"
"10928","WOOD_041",47.139945,-99.231321,581.1,"grasslandHerbaceous"
"10930","WOOD_033",47.139342,-99.246496,584.4,"grasslandHerbaceous"
"11675","CPER_082",40.85451,-104.688209,1640.8,"grasslandHerbaceous"
"11676","CPER_083",40.840911,-104.687576,1634.2,"grasslandHerbaceous"
"11677","CPER_078",40.834431,-104.690811,1624.8,"grasslandHerbaceous"
"11698","CPER_090",40.85555,-104.714539,1661.1,"grasslandHerbaceous"
"11699","CPER_086",40.847775,-104.725614,1650.8,"grasslandHerbaceous"
"11700","CPER_084",40.8457,-104.76405,1662.5,"grasslandHerbaceous"
"11701","CPER_080",40.831098,-104.760543,1660.4,"grasslandHerbaceous"
"11702","CPER_087",40.825683,-104.76265,1646.6,"grasslandHerbaceous"
"11703","CPER_089",40.812702,-104.763102,1639.5,"grasslandHerbaceous"
"11704","CPER_088",40.811915,-104.772255,1639.9,"grasslandHerbaceous"
"12468","STER_040",40.471932,-103.008202,1352.4,"cultivatedCrops"
"12469","STER_038",40.467352,-103.020986,1357,"cultivatedCrops"
"12470","STER_039",40.467447,-103.026941,1358.5,"cultivatedCrops"
"12471","STER_044",40.466797,-103.036213,1363,"cultivatedCrops"
"12472","STER_043",40.473397,-103.026824,1365.7,"cultivatedCrops"
"12473","STER_041",40.476008,-103.024984,1359.1,"cultivatedCrops"
"12474","STER_036",40.478542,-103.027012,1361.3,"cultivatedCrops"
"12475","STER_042",40.481497,-103.025869,1367.4,"cultivatedCrops"
"12476","STER_030",40.481542,-103.013138,1365.5,"cultivatedCrops"
"12477","STER_037",40.479029,-103.008241,1363.6,"cultivatedCrops"
"12828","CLBJ_069",33.394333,-97.654183,298.5,"deciduousForest"
"12829","CLBJ_072",33.409372,-97.64428,311.4,"grasslandHerbaceous"
"12830","CLBJ_070",33.409241,-97.632016,311.1,"grasslandHerbaceous"
"12831","CLBJ_068",33.420466,-97.595712,267.5,"deciduousForest"
"12832","CLBJ_074",33.399233,-97.60799,303.2,"deciduousForest"
"12833","CLBJ_067",33.389372,-97.572997,278.4,"grasslandHerbaceous"
"12834","CLBJ_073",33.376482,-97.580944,297.6,"deciduousForest"
"12835","CLBJ_075",33.372972,-97.583553,296.1,"grasslandHerbaceous"
"12836","CLBJ_066",33.330827,-97.586518,315.3,"deciduousForest"
"12837","CLBJ_071",33.321074,-97.586357,332.1,"grasslandHerbaceous"
"13296","OAES_038",35.395369,-99.057236,500.8,"grasslandHerbaceous"
"13297","OAES_075",35.407538,-99.058579,521.3,"grasslandHerbaceous"
"13298","OAES_041",35.408089,-99.061869,514.4,"shrubScrub"
"13299","OAES_032",35.413237,-99.064195,509.3,"grasslandHerbaceous"
"13300","OAES_035",35.410503,-99.068474,509.4,"grasslandHerbaceous"
"13301","OAES_037",35.408883,-99.065832,502.1,"shrubScrub"
"13302","OAES_034",35.412147,-99.072118,510.4,"grasslandHerbaceous"
"13303","OAES_036",35.409496,-99.077404,501.9,"grasslandHerbaceous"
"13304","OAES_033",35.400494,-99.08136,509.2,"grasslandHerbaceous"
"13305","OAES_039",35.396179,-99.073429,488.1,"shrubScrub"
"13581","MOAB_034",38.277972,-109.350332,2001.8,"evergreenForest"
"13582","MOAB_036",38.25792,-109.38162,1812,"shrubScrub"
"13583","MOAB_039",38.249006,-109.400993,1789.9,"shrubScrub"
"13584","MOAB_042",38.23527,-109.400608,1763,"shrubScrub"
"13585","MOAB_037",38.230243,-109.39148,1759.2,"shrubScrub"
"13586","MOAB_043",38.221342,-109.39442,1722,"shrubScrub"
"13587","MOAB_041",38.241426,-109.380289,1814.9,"shrubScrub"
"13588","MOAB_035",38.267542,-109.414292,1801.5,"shrubScrub"
"13589","MOAB_040",38.262994,-109.41782,1813,"shrubScrub"
"13590","MOAB_038",38.263925,-109.426013,1813.3,"shrubScrub"
"13758","JORN_033",32.634737,-106.840847,1322.2,"shrubScrub"
"13759","JORN_041",32.609219,-106.863663,1328.1,"shrubScrub"
"13760","JORN_036",32.607928,-106.85916,1327.3,"shrubScrub"
"13761","JORN_038",32.605275,-106.843741,1320.8,"shrubScrub"
"13762","JORN_039",32.605277,-106.818828,1326.7,"shrubScrub"
"13763","JORN_037",32.607504,-106.814391,1327.3,"shrubScrub"
"13764","JORN_040",32.608144,-106.808965,1328.6,"shrubScrub"
"13765","JORN_034",32.608205,-106.803214,1324.8,"shrubScrub"
"13766","JORN_035",32.570443,-106.813332,1330,"shrubScrub"
"13767","JORN_032",32.571443,-106.800899,1325.6,"shrubScrub"
"13908","SRER_039",31.887663,-110.868606,965.9,"shrubScrub"
"13909","SRER_034",31.800204,-110.833873,1235.4,"shrubScrub"
"13910","SRER_036",31.843809,-110.879072,1044.2,"shrubScrub"
"13944","SRER_037",31.805422,-110.90327,1052.3,"shrubScrub"
"13945","SRER_032",31.794002,-110.883327,1115.2,"shrubScrub"
"13946","SRER_033",31.772897,-110.857362,1233.6,"shrubScrub"
"13949","SRER_038",31.849247,-110.894336,1001.6,"shrubScrub"
"13950","SRER_040",31.851864,-110.814125,1217.1,"shrubScrub"
"13951","SRER_035",31.877763,-110.813433,1140.5,"shrubScrub"
"13952","SRER_041",31.900587,-110.833375,1015.9,"shrubScrub"
"14211","ONAQ_034",40.182049,-112.521017,1941.7,"evergreenForest"
"14212","ONAQ_040",40.18382,-112.510837,1839.2,"evergreenForest"
"14213","ONAQ_039",40.191608,-112.514184,1905.2,"evergreenForest"
"14214","ONAQ_038",40.190475,-112.504302,1820.6,"evergreenForest"
"14215","ONAQ_013",40.210556,-112.468815,1716.7,"shrubScrub"
"14216","ONAQ_033",40.213529,-112.466764,1703.4,"shrubScrub"
"14217","ONAQ_037",40.205787,-112.464089,1695,"shrubScrub"
"14218","ONAQ_001",40.205284,-112.459185,1676.6,"shrubScrub"
"14219","ONAQ_035",40.215377,-112.430805,1607.7,"shrubScrub"
"14220","ONAQ_036",40.204626,-112.425634,1597.8,"shrubScrub"
"14571","ONAQ_080",40.19575,-112.422302,1599.2,"shrubScrub"
"14572","ONAQ_083",40.18382,-112.470314,1706.4,"shrubScrub"
"14573","ONAQ_082",40.187554,-112.495417,1796.6,"evergreenForest"
"14578","ONAQ_078",40.196765,-112.428312,1612.1,"shrubScrub"
"14579","ONAQ_075",40.196205,-112.472712,1718.1,"shrubScrub"
"14582","ONAQ_079",40.18051,-112.474485,1716.6,"shrubScrub"
"14583","ONAQ_077",40.182772,-112.488274,1766.1,"shrubScrub"
"14584","ONAQ_074",40.175954,-112.514905,1851.9,"evergreenForest"
"14585","ONAQ_081",40.166605,-112.505883,1756.3,"shrubScrub"
"14586","ONAQ_076",40.155008,-112.461642,1645.4,"shrubScrub"
"15077","ABBY_035",45.753024,-122.30509,478.2,"grasslandHerbaceous"
"15078","ABBY_036",45.747351,-122.308509,443.7,"evergreenForest"
"15079","ABBY_037",45.763458,-122.336096,344.9,"evergreenForest"
