"","plotID","decimalLatitude","decimalLongitude","elevation.y","nlcdClass.y"
"4253","HARV_079",42.42152,-72.220399,170.5,"evergreenForest"
"4340","HARV_080",42.428536,-72.246364,218.1,"deciduousForest"
"4421","HARV_081",42.404544,-72.254726,171.6,"evergreenForest"
"4502","HARV_082",42.482279,-72.272148,171.6,"woodyWetlands"
"4583","HEAL_035",63.87629,-149.241179,674.9,"shrubScrub"
"4615","HEAL_036",63.881427,-149.198683,621.5,"shrubScrub"
"4647","HEAL_037",63.878625,-149.225342,686.7,"shrubScrub"
"4680","HEAL_038",63.880912,-149.216355,666,"shrubScrub"
"4712","HEAL_039",63.881591,-149.206627,641.3,"shrubScrub"
"4744","HEAL_040",63.875741,-149.255683,678.7,"shrubScrub"
"4776","HEAL_041",63.87887,-149.262034,668.8,"shrubScrub"
"4808","HEAL_042",63.874263,-149.246411,688,"dwarfScrub"
"4840","HEAL_043",63.879294,-149.23395,668,"shrubScrub"
"4872","HEAL_044",63.879,-149.183862,621.8,"dwarfScrub"
"4904","JERC_069",31.175208,-84.470371,33.1,"evergreenForest"
"4949","JERC_070",31.203214,-84.477492,44.1,"evergreenForest"
"4992","JERC_071",31.19332,-84.470462,42,"deciduousForest"
"5037","JERC_072",31.198457,-84.494913,41.9,"evergreenForest"
"5080","JERC_073",31.199348,-84.459306,44.5,"evergreenForest"
"5125","JERC_074",31.182724,-84.482202,47.9,"deciduousForest"
"5170","JERC_075",31.19575,-84.468598,45.6,"mixedForest"
"5188","JERC_076",31.191885,-84.476815,38.1,"deciduousForest"
"5233","JERC_077",31.212842,-84.471253,40,"mixedForest"
"5278","JERC_078",31.180212,-84.462668,41.7,"mixedForest"
"5323","JERC_079",31.183411,-84.476777,41.7,"mixedForest"
"5350","JORN_032",32.571443,-106.800899,1325.6,"shrubScrub"
"5365","JORN_033",32.634737,-106.840847,1322.2,"shrubScrub"
"5380","JORN_034",32.608205,-106.803214,1324.8,"shrubScrub"
"5395","JORN_035",32.570443,-106.813332,1330,"shrubScrub"
"5410","JORN_036",32.607928,-106.85916,1327.3,"shrubScrub"
"5425","JORN_037",32.607504,-106.814391,1327.3,"shrubScrub"
"5440","JORN_038",32.605275,-106.843741,1320.8,"shrubScrub"
"5455","JORN_039",32.605277,-106.818828,1326.7,"shrubScrub"
"5470","JORN_040",32.608144,-106.808965,1328.6,"shrubScrub"
